,0
0,0
1,0
2,2
3,3
4,2
5,2
6,0
7,0
8,1
9,1
10,2
11,1
12,2
13,3
14,3
15,2
16,0
17,0
18,3
19,1
20,1
21,0
22,0
23,0
24,3
25,2
26,2
27,0
28,0
29,2
30,3
31,0
32,0
33,0
34,2
35,2
36,0
37,3
38,2
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,3
47,3
48,2
49,0
50,0
51,3
52,3
53,3
54,3
55,2
56,1
57,1
58,3
59,0
60,0
61,1
62,3
63,3
64,1
65,0
66,0
67,3
68,2
69,3
70,0
71,0
72,2
73,1
74,2
75,3
76,1
77,2
78,3
79,2
80,1
81,1
82,3
83,0
84,0
85,1
86,1
87,2
88,3
89,2
90,3
91,2
92,0
93,2
94,2
95,3
96,2
97,2
98,0
99,3
100,3
101,0
102,2
103,3
104,0
105,3
106,0
107,0
108,1
109,1
110,3
111,0
112,0
113,3
114,2
115,1
116,0
117,2
118,2
119,1
120,0
121,3
122,2
123,0
124,0
125,2
126,2
127,3
128,1
129,2
130,2
131,0
132,1
133,0
134,2
135,3
136,0
137,0
138,0
139,2
140,2
141,3
142,0
143,2
144,0
145,1
146,1
147,3
148,3
149,1
150,2
151,0
152,0
153,2
154,0
155,1
156,1
157,2
158,3
159,2
160,3
161,2
162,1
163,0
164,0
165,3
166,2
167,2
168,1
169,1
170,0
171,2
172,2
173,3
174,3
175,0
176,0
177,1
178,3
179,2
180,3
181,3
182,1
183,2
184,2
185,3
186,0
187,1
188,3
189,3
190,2
191,1
192,0
193,0
194,2
195,1
196,1
197,0
198,0
199,0
200,2
201,2
202,0
203,2
204,0
205,0
206,2
207,3
208,1
209,0
210,3
211,2
212,2
213,2
214,2
215,1
216,0
217,0
218,3
219,2
220,1
221,0
222,0
223,2
224,2
225,1
226,0
227,0
228,0
229,3
230,2
231,0
232,3
233,2
234,3
235,0
236,0
237,0
238,1
239,0
240,3
241,3
242,2
243,0
244,0
245,0
246,2
247,2
248,0
249,3
250,1
251,2
252,3
253,1
254,2
255,2
256,2
257,0
258,0
259,0
260,0
261,2
262,2
263,2
264,2
265,0
266,2
267,2
268,3
269,2
270,0
271,3
272,1
273,0
274,2
275,2
276,0
277,0
278,1
279,2
280,3
281,3
282,2
283,0
284,3
285,2
286,2
287,2
288,2
289,3
290,3
291,2
292,2
293,0
294,2
295,2
296,3
297,0
298,2
299,1
300,3
301,2
302,2
303,3
304,1
305,1
306,0
307,3
308,3
309,3
310,0
311,1
312,1
313,1
314,0
315,1
316,0
317,3
318,1
319,1
320,3
321,3
322,2
323,0
324,0
325,2
326,0
327,0
328,2
329,2
330,3
331,3
332,1
333,2
334,1
335,2
336,2
337,3
338,3
339,2
340,2
341,0
342,0
343,2
344,0
345,2
346,3
347,2
348,2
349,2
350,0
351,0
352,0
353,2
354,3
355,3
356,0
357,0
358,2
359,2
360,1
361,0
362,1
363,3
364,3
365,1
366,0
367,2
368,2
369,2
370,3
371,3
372,0
373,0
374,0
375,2
376,3
377,3
378,3
379,2
380,2
381,0
382,1
383,1
384,2
385,2
386,2
387,2
388,0
389,0
390,1
391,3
392,0
393,0
394,1
395,2
396,0
397,0
398,2
399,2
400,0
401,2
402,2
403,1
404,3
405,2
406,0
407,0
408,3
409,2
410,2
411,2
412,2
413,1
414,0
415,3
416,1
417,0
418,0
419,3
420,2
421,2
422,3
423,3
424,3
425,2
426,3
427,2
428,0
429,0
430,3
431,3
432,1
433,3
434,0
435,0
436,3
437,0
438,1
439,0
440,3
441,3
442,2
443,0
444,0
445,2
446,0
447,0
448,0
449,0
450,0
451,0
452,3
453,2
454,0
455,2
456,0
457,0
458,2
459,0
460,0
461,3
462,3
463,2
464,0
465,3
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,2
474,2
475,3
476,3
477,0
478,1
479,2
480,0
481,2
482,2
483,3
484,0
485,0
486,1
487,0
488,1
489,3
490,2
491,0
492,0
493,0
494,3
495,1
496,0
497,0
498,2
499,1
500,3
501,3
502,0
503,0
504,0
505,3
506,3
507,2
508,1
509,0
510,3
511,3
512,2
513,3
514,3
515,2
516,2
517,3
518,3
519,0
520,0
521,2
522,2
523,3
524,2
525,0
526,0
527,3
528,3
529,3
530,0
531,2
532,0
