"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"AE"," ","AE","Adverse Event Log","","","","",""
"AE","AEOUTCOM","AE","Outcome","NUMBER","1","0","False","False"
"AE","AERELAT","AE","Relationship to Study","NUMBER","1","0","False","False"
"AE","AERELPRO","AE","Relationship to Study Procedure","NUMBER","1","0","False","False"
"AE","AESEVER","AE","Severity","NUMBER","1","0","False","False"
"AE","AETERM","AE","Adverse Event","CHAR","500","","False","False"
"AE","CNO","AE","Site Number","NUMBER","12","0","True","False"
"AE","EVENT_ID","AE","Visit ID","CHAR","6","","True","False"
"AE","HLGTNAME","","High Level Group Term","CHAR","120","","",""
"AE","HLT_NAME","","High Level Term","CHAR","120","","",""
"AE","INFODT","AE","Assessment Date","DATE","","","True","False"
"AE","LAST_UPDATE","AE","Date of most recent update to record","DATE","","","True","False"
"AE","LLT_NAME","","Low Level Term","CHAR","100","","",""
"AE","ORIG_ENTRY","AE","Date of original data entry","DATE","","","True","False"
"AE","PAG_NAME","AE","Page Name","CHAR","13","","True","False"
"AE","PATNO","AE","Participant ID","NUMBER","18","0","True","False"
"AE","PT_CODE","","Preferred Term Code","NUMBER","15","0","",""
"AE","PT_NAME","","Preferred Term Name","CHAR","120","","",""
"AE","PWDTAE","AE","Premature Withdrawal due to AE","NUMBER","1","0","False","False"
"AE","REC_ID","AE","Record ID","CHAR","36","","True","True"
"AE","SAE","AE","SAE","NUMBER","1","0","False","False"
"AE","SOCABBR1","","System Organ Class 1","CHAR","5","","",""
"AE","STARTDT","AE","Start Date","DATE","","","False","False"
"AE","STOPDT","AE","Stop Date","DATE","","","False","False"
"AE","VMEDDRA","","MedDRA Version","CHAR","8","","",""
"AECLINAST"," ","AECLINAST","Adverse Event In-Clinic Assessment","","","","",""
"AECLINAST","AERPRT","AECLINAST","If Yes, were any adverse events observed?","NUMBER","1","0","False","False"
"AECLINAST","ASTYN","AECLINAST","If Yes, were adverse events assessed following the procedure(s)?","NUMBER","1","0","False","False"
"AECLINAST","CLNCONDCTVIS","AECLINAST","Was an LP, skin biopsy, or dopamine imaging scan conducted at this visit?","NUMBER","1","0","False","False"
"AECLINAST","CNO","AECLINAST","Site Number","NUMBER","12","0","True","False"
