,0
0,0
1,0
2,2
3,1
4,1
5,2
6,0
7,0
8,3
9,3
10,3
11,0
12,3
13,3
14,1
15,0
16,2
17,0
18,0
19,1
20,3
21,3
22,0
23,0
24,0
25,2
26,1
27,2
28,2
29,0
30,2
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,3
40,1
41,0
42,2
43,3
44,3
45,0
46,0
47,0
48,3
49,0
50,0
51,1
52,1
53,3
54,0
55,2
56,1
57,1
58,2
59,1
60,2
61,3
62,3
63,1
64,3
65,3
66,0
67,0
68,3
69,1
70,1
71,0
72,0
73,2
74,1
75,1
76,2
77,0
78,0
79,2
80,3
81,3
82,2
83,1
84,1
85,3
86,2
87,1
88,2
89,3
90,3
91,1
92,0
93,3
94,2
95,0
96,3
97,3
98,2
99,1
100,2
101,1
102,1
103,0
104,2
105,2
106,0
107,1
108,1
109,1
110,2
111,0
112,2
113,2
114,2
115,2
116,2
117,0
118,0
119,0
120,0
121,3
122,3
123,2
124,0
125,0
126,2
127,2
128,1
129,2
130,3
131,1
132,2
133,3
134,3
135,0
136,2
137,1
138,0
139,2
140,2
141,1
142,2
143,2
144,1
145,3
146,3
147,2
148,0
149,0
150,3
151,0
152,0
153,1
154,0
155,0
156,2
157,3
158,1
159,0
160,0
161,2
162,3
163,3
164,1
165,1
166,3
167,2
168,0
169,0
170,0
171,3
172,3
173,3
174,3
175,1
176,2
177,1
178,3
179,3
180,0
181,0
182,0
183,2
184,1
185,3
186,3
187,0
188,3
189,1
190,1
191,2
192,2
193,0
194,3
195,0
196,2
197,1
198,1
199,3
200,3
201,0
202,1
203,0
204,3
205,2
206,0
207,2
208,3
209,0
210,0
211,0
212,0
213,2
214,3
215,3
216,0
217,1
218,0
219,2
220,2
221,1
222,2
223,0
224,0
225,0
226,1
227,0
228,0
229,3
230,0
231,2
232,3
233,0
234,2
235,2
236,3
237,0
238,1
239,2
240,0
241,3
242,1
243,2
244,2
245,1
246,3
247,3
248,0
249,0
250,2
251,2
252,1
253,1
254,1
255,0
256,0
257,0
258,2
259,1
260,3
261,0
262,3
263,0
264,1
265,2
266,2
267,0
268,0
269,0
270,2
271,3
272,0
273,1
274,3
275,2
276,2
277,3
278,2
279,1
280,1
281,1
282,2
283,1
284,2
285,2
286,0
287,0
288,1
289,0
290,2
291,2
292,2
293,1
294,0
295,0
296,2
297,2
298,0
299,1
300,1
301,3
302,3
303,3
304,0
305,2
306,2
307,0
308,0
309,3
310,2
311,2
312,1
313,2
314,0
315,1
316,0
317,2
318,2
319,0
320,0
321,0
322,0
323,1
324,0
325,3
326,1
327,2
328,2
329,0
330,0
331,3
332,3
333,1
334,2
335,2
336,1
337,3
338,3
339,0
340,0
341,2
342,2
343,0
344,3
345,3
346,3
347,0
348,3
349,1
350,0
351,3
352,3
353,1
354,1
355,2
356,0
357,0
358,2
359,0
360,0
361,2
362,1
363,1
364,1
365,3
366,0
367,3
368,2
369,3
370,0
371,2
372,1
373,1
374,2
375,3
376,0
377,0
378,0
379,0
380,2
381,2
382,1
383,0
384,0
385,0
386,2
387,0
388,2
389,2
390,0
391,0
392,2
393,1
394,1
395,1
396,0
397,0
398,2
399,3
400,1
401,1
402,2
403,3
404,1
405,1
406,3
407,0
408,2
409,2
410,2
411,1
412,0
413,0
414,0
415,2
416,2
417,1
418,2
419,3
420,0
421,1
422,2
423,3
424,1
425,2
426,3
427,2
428,2
429,1
430,2
431,0
432,0
433,3
434,1
435,0
436,0
437,3
438,2
439,0
440,2
441,2
442,1
443,3
444,3
445,0
446,3
447,2
448,2
449,1
450,3
451,0
452,0
453,2
454,2
455,0
456,0
457,2
458,2
459,1
460,2
461,2
462,2
463,0
464,0
465,3
466,0
467,0
468,1
469,2
470,2
471,1
472,1
473,1
474,3
475,1
476,0
477,0
478,0
479,1
480,1
481,3
482,1
483,0
484,2
485,2
486,0
487,3
488,0
489,1
490,2
491,2
492,0
493,0
494,2
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,2
504,1
505,1
506,1
507,0
508,0
509,0
510,3
511,0
512,0
513,1
514,2
515,0
516,0
517,2
518,0
519,0
520,0
521,2
522,0
523,0
524,0
525,0
526,3
527,3
528,1
529,2
530,0
531,0
532,0
